record_id,parent_id,title,artist_client,date,catalogue,roles,credits,public_sources,review_status,corrected_value,owner_notes,display_order
cosmic-records-history,,Cosmic Records — Catalogue History,DJ’s Friction & Spice / Voyager / The Beat Brothers,Vinyl chronology begins January 1996,"{""label"": ""Cosmic Records archive""}",Artist | Composer | Producer | Catalogue Participant,[],"[{""label"": ""Artist source photographs"", ""href"": ""https://drive.google.com/drive/folders/1mVnF4skqn2V0ox57tQXu8UrTVVV-iVpi"", ""supports"": ""Label and pressing references supplied by the artist.""}]",awaiting-owner-review,,,
groove-me,cosmic-records-history,Groove Me,DJ’s Friction & Spice,Exact date unresolved,COSMIC 001,Co-writer | Co-producer | Co-arranger,[],[],awaiting-owner-review,Display order: Groove Me (Original); Groove Me (Dub).,"2026-09-20: Owner requires original versions first across all releases. Track-order confirmation only; other review fields remain open. 2026-09-21: Owner confirmed credits across listed tracks/versions: All listed tracks and versions written, produced and arranged by Justin Scott Dixon and Jeff Alderson. Credit review confirmed; dates and current artwork remain under review.",
cosmic-002,cosmic-records-history,Pure / Journees,DJ’s Friction & Spice,Exact date unresolved,COSMIC 002,Writer | Arranger | Co-producer,[],[],awaiting-owner-review,,2026-09-21: Owner confirmed credits across listed tracks/versions: All listed tracks written and arranged by Justin Scott Dixon; produced by Justin Scott Dixon and Jeff Alderson. Credit review confirmed; dates and current artwork remain under review.,
cosmic-003,cosmic-records-history,You Make Me Feel So Good,DJ’s Friction & Spice,©1996 label,COSMIC 003,Co-writer | Co-producer | Co-arranger,[],[],awaiting-owner-review,,"2026-09-21: Owner confirmed credits across listed tracks/versions: All listed tracks and versions written, produced and arranged by Justin Scott Dixon and Jeff Alderson. Credit review confirmed; dates and current artwork remain under review.",
cosmic-004,cosmic-records-history,Ah Yeah,The Beat Brothers,©1996 label,COSMIC 004,Co-writer | Co-producer | Co-arranger,[],[],awaiting-owner-review,,"2026-09-21: Owner confirmed credits across listed tracks/versions: Both tracks written, produced and arranged by Justin Scott Dixon and Jeff Alderson. Credit review confirmed; dates and current artwork remain under review.",
cosmic-005,cosmic-records-history,Trixta / Friction,Voyager,1996 — public listing,COSMIC 005,Writer | Producer | Arranger,[],[],awaiting-owner-review,"Both Trixta and Friction written, produced and arranged by Justin Scott Dixon.","2026-09-20: Owner explicitly confirmed writing, production and arrangement credit for COSMIC 005. Date, side assignments and artwork approval remain unresolved; this is credit confirmation only.",
cosmic-006,cosmic-records-history,Funkee Ass Breaks Vol. 1,DJ’s Friction & Spice,©1996 label,COSMIC 006,Co-writer | Co-producer | Co-arranger,[],[],awaiting-owner-review,"All three tracks written, arranged and produced by Justin Scott Dixon and Jeff Alderson.","2026-09-21: Owner confirmed credits for Electronic Energy, Digital Overload and Get Down To The Funky Beat. Credit review confirmed; release-date review remains open.",
cosmic-007,cosmic-records-history,The Beat / Relax — also includes Slider,Voyager,©1996 label,COSMIC 007,Writer | Producer,[],[],awaiting-owner-review,"Written and produced by Voyager; applies to The Beat, Relax and Slider.","2026-09-21: Owner confirmed credits: Written and produced by Voyager; applies to The Beat, Relax and Slider. Dates and other review fields remain open.",
cosmic-008,cosmic-records-history,The Rhythm,DJ’s Friction & Spice,©1996 label,COSMIC 008,Co-writer / original | Co-arranger / original | Co-producer / original,[],[],awaiting-owner-review,"Written, arranged and produced by Justin Scott Dixon and Jeff Alderson. DJ Who credited for DJ Who’s Progressive Mix; keep remix production scoped to that version.","2026-09-21: Owner confirmed credits: Written, arranged and produced by Justin Scott Dixon and Jeff Alderson. DJ Who credited for DJ Who’s Progressive Mix; keep remix production scoped to that version. Dates and other review fields remain open.",
cosmic-009,cosmic-records-history,Remix LP,DJ’s Friction & Spice,1996 — public listing,COSMIC 009,Co-writer | Co-arranger | Co-producer,[],[],awaiting-owner-review,"Both listed remixes written, arranged and produced by Justin Scott Dixon and Jeff Alderson.","2026-09-21: Owner confirmed credits: Both listed remixes written, arranged and produced by Justin Scott Dixon and Jeff Alderson. Dates and other review fields remain open.",
cosmic-010,cosmic-records-history,Lost Worlds / Ultra Intense,Voyager,©1997 label,COSMIC 010,Writer | Producer,[],[],awaiting-owner-review,Both tracks written and produced by Voyager; replaces prior joint-credit attribution.,2026-09-21: Owner confirmed credits: Both tracks written and produced by Voyager; replaces prior joint-credit attribution. Dates and other review fields remain open.,
cosmic-011,cosmic-records-history,Rhythm Rockin’ / Future Funk,DJ’s Friction & Spice,1997 — public listing,COSMIC 011,Co-writer | Co-producer,[],[],awaiting-owner-review,Written and produced by Justin Scott Dixon and Jeff Alderson.,2026-09-21: Owner confirmed: Written and produced by Justin Scott Dixon and Jeff Alderson. Arrangement not confirmed. Dates and artwork remain separate review items.,
cosmic-012,cosmic-records-history,Acid Drop / Ah Yeah (RMX),The Beat Brothers,1997 label,COSMIC 012,Writer | Producer,[],[],awaiting-owner-review,Written and produced by Justin Scott Dixon (Voyager). Replaces prior duo credit.,2026-09-21: Owner confirmed: Written and produced by Justin Scott Dixon (Voyager). Replaces prior duo credit. Arrangement not confirmed. Dates and artwork remain separate review items.,
cosmic-013,cosmic-records-history,Work 4 Love,Three Wise Monkeys Meet DJ’s Friction & Spice,1997 — public listing,COSMIC 013,,[],[],awaiting-owner-review,Written and produced by Three Wise Monkeys. Removes unverified personal Collaborator role; no Justin writing or production credit inferred. Release artist identity retained.,2026-09-21: Owner confirmed: Written and produced by Three Wise Monkeys. Removes unverified personal Collaborator role; no Justin writing or production credit inferred. Release artist identity retained. Arrangement not confirmed. Dates and artwork remain separate review items.,
cosmic-014,cosmic-records-history,The E.P.,DJ’s Friction & Spice,©1998 label,COSMIC 014,Co-writer | Co-arranger | Production credited to DJ’s Friction & Spice,"[{""title"": ""Go With The Flow"", ""scope"": ""Logo side"", ""roles"": [""Co-writer"", ""Co-arranger""], ""evidence"": ""Artist-supplied label photograph transcribed in the master."", ""collaborators"": ""Jeff Alderson — co-writer and co-arranger"", ""note"": ""Release-wide production credit: Friction & Spice.""}, {""title"": ""Explorations"", ""scope"": ""Logo side"", ""roles"": [""Co-writer"", ""Co-arranger""], ""evidence"": ""Artist-supplied label photograph transcribed in the master."", ""collaborators"": ""Jason Morgan — co-writer and co-arranger"", ""note"": ""Release-wide production credit: Friction & Spice.""}, {""title"": ""Dark Knight"", ""scope"": ""This side"", ""roles"": [""Co-writer"", ""Co-arranger""], ""evidence"": ""Artist-supplied label photograph transcribed in the master."", ""collaborators"": ""Chris Hand — co-writer and co-arranger"", ""note"": ""Release-wide production credit: Friction & Spice.""}]","[{""label"": ""Discogs edition record"", ""href"": ""https://www.discogs.com/release/64237"", ""supports"": ""Edition and credit transcription retained in the master; database evidence.""}]",awaiting-owner-review,Production credited to DJ’s Friction & Spice unless otherwise noted.,2026-09-21: Owner confirmed default production attribution for COSMIC 014 as DJ’s Friction & Spice unless otherwise noted. Existing track-specific writing and arrangement retained; no blanket change to other releases or previously confirmed exceptions.,
